10000 25000 3
6000 2500 4000
0 0 0 1
1 0 0 1
2 3 0 1
3 3 1 2
4 1 0 1
5 0 0 2
6 2 1 1
7 1 0 2
8 2 0 0
9 0 0 1
10 1 0 1
11 2 0 2
12 3 0 1
13 2 0 0
14 1 0 2
15 0 1 1
16 2 1 0
17 1 0 2
18 2 0 2
19 2 1 1
20 1 1 0
21 3 0 2
22 1 0 0
23 0 1 1
24 3 0 0
25 0 1 0
26 3 0 1
27 2 1 2
28 3 1 0
29 2 0 1
30 2 1 2
31 1 1 2
32 0 1 1
33 3 1 0
34 2 0 0
35 3 1 1
36 0 1 0
37 2 1 2
38 1 1 1
39 3 0 2
40 0 1 1
41 1 0 1
42 1 1 1
43 3 1 2
44 0 1 1
45 2 0 2
46 2 0 0
47 1 0 2
48 1 1 0
49 0 0 1
50 3 1 0
51 1 1 1
52 3 1 0
53 3 0 0
54 2 1 1
55 3 1 2
56 0 0 0
57 0 1 0
58 1 0 1
59 0 1 2
60 0 1 2
61 3 0 0
62 3 0 1
63 1 1 1
64 3 0 2
65 0 0 2
66 1 1 1
67 0 1 0
68 3 1 2
69 1 1 1
70 0 1 2
71 3 0 1
72 3 0 1
73 3 0 2
74 2 0 0
75 3 1 0
76 0 0 0
77 1 0 1
78 0 0 2
79 1 0 1
80 3 0 0
81 0 0 0
82 0 0 2
83 3 1 1
84 0 0 1
85 0 0 1
86 0 0 2
87 1 0 1
88 3 0 1
89 3 0 0
90 2 0 1
91 0 0 1
92 0 0 1
93 2 1 2
94 1 1 1
95 2 0 1
96 0 1 1
97 2 0 0
98 2 1 1
99 2 1 2
100 3 0 1
101 2 1 0
102 0 1 1
103 0 0 1
104 2 0 2
105 2 1 2
106 2 0 2
107 2 1 0
108 3 0 2
109 0 1 0
110 1 0 0
111 3 1 1
112 3 0 2
113 0 0 1
114 1 1 0
115 2 0 2
116 1 0 0
117 1 0 0
118 2 0 2
119 2 1 0
120 1 0 2
121 3 1 0
122 3 0 0
123 1 0 1
124 3 1 2
125 1 0 2
126 1 0 1
127 0 1 1
128 1 0 2
129 3 1 2
130 2 1 0
131 2 0 0
132 2 1 0
133 1 1 0
134 2 1 0
135 2 0 1
136 2 0 0
137 2 0 0
138 3 1 0
139 1 1 2
140 0 1 2
141 3 0 0
142 3 1 0
143 2 1 0
144 3 1 1
145 3 1 1
146 0 0 0
147 1 1 0
148 0 1 0
149 3 0 2
150 0 0 0
151 1 0 0
152 0 1 0
153 1 1 0
154 1 0 1
155 3 1 1
156 1 1 2
157 0 0 2
158 3 0 2
159 1 0 0
160 2 0 0
161 2 1 1
162 2 1 0
163 3 0 1
164 0 0 0
165 0 0 0
166 0 1 1
167 3 1 0
168 2 0 2
169 0 0 2
170 1 1 0
171 2 1 1
172 1 1 1
173 2 0 1
174 2 0 1
175 0 0 0
176 1 1 2
177 2 0 1
178 0 1 1
179 2 0 2
180 0 1 1
181 3 0 2
182 2 0 0
183 2 0 2
184 3 0 0
185 0 0 1
186 2 1 0
187 0 1 2
188 2 0 1
189 0 1 0
190 1 0 2
191 2 0 2
192 0 1 2
193 3 1 0
194 3 0 0
195 1 1 1
196 1 0 2
